roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12
-0.4555108,-6.686265,0.6874791,2.06263,0.6832337,0.4565489,-1.688802,1.685685,0.9909448,0.6889492,1.680557,0.6838635
-0.0392506,-4.454921,0.6804832,1.451988,0.6806376,0.6874632,-0.6823867,1.86279,0.6840734,-0.0329474,2.80584,0.6862875
0.4551841,-1.82658,0.883935,0.4533955,-0.0920516,0.6807904,0.850638,1.68345,-0.6853553,-0.6858988,3.681626,0.4559254
0.686567,1.686341,1.683985,-0.6878915,-0.685316,0.681926,1.02429,0.9923591,-0.843035,0.0363903,3.459238,0.6859029
0.826928,4.682909,1.681665,0.0426468,-0.6861244,-0.0259096,0.6843626,-0.6805756,-0.868035,0.6895172,2.451362,0.6834176
0.6835407,7.455215,0.6856428,1.03124,-0.686933,-0.4555362,0.4580328,-1.08851,-0.4588627,0.6820529,1.68928,0.6813693
0.4531538,7.450634,0.4541643,2.68533,0.0403316,-0.4587946,0.6889864,-1.681332,0.0855348,0.681188,0.683965,-0.6842632
0.4563945,4.684244,-0.4556345,2.8895,0.0853189,-0.6864656,0.9983037,-1.455863,0.4512452,0.0323728,0.4547476,-0.4559232
1.0485,0.6896034,-0.680365,2.685554,-0.0873509,-0.00251864,1.685875,-0.858435,0.4530808,-0.6886437,0.0302412,-0.6876752
2.688365,-3.06123,-0.4515673,1.687332,-0.6863167,0.0893938,1.993895,0.0451918,-0.6853423,-0.6874945,-0.6846035,0.0846165
3.454642,-4.682627,-0.0955507,0.4589464,-0.6842362,0.0717332,1.684167,0.4568324,-0.9942856,-0.6828218,-0.6803509,0.850915
4.687603,-3.683396,0.4553096,-0.859191,-0.4584034,-0.0203723,0.6829169,0.6813347,-1.683236,-0.6810791,-0.4583597,1.459619
3.85562,-0.6864402,0.4546732,-1.688332,-0.4508553,-0.6820342,0.4540287,-0.6891628,-0.895021,0.0652538,0.6843457,1.453732
2.454332,2.450702,0.4523278,-2.684336,0.6816479,-0.6879295,0.6848655,-0.6849008,-0.6864607,0.684178,1.85863,1.681341
0.4531505,3.454627,0.4588865,-2.684258,0.4597348,-0.688664,0.4558628,-0.6876198,0.6841451,0.4506643,3.88206,0.6824802
-1.451569,2.453602,0.6868473,-2.684867,0.4553031,-0.685152,0.6878511,0.4570306,0.4524003,0.6825615,5.685341,0.00365078
-2.45622,-0.4550547,0.685807,-2.02559,0.0719848,-0.0742876,-0.456432,0.887207,0.6806252,0.4503039,6.459473,-0.4509236
-2.680762,-3.68318,0.684762,-0.856234,-0.0591482,0.0626558,-0.9946502,0.882505,-0.6804862,0.0962413,5.682031,-0.0953247
-2.681657,-5.681121,0.4559846,0.849331,-9.455651e-05,0.4573043,-1.451419,0.0558411,-0.4562436,-0.0230839,3.86454,0.6837962
-1.685263,-6.682516,0.6847603,2.457624,0.6843213,0.6833453,-1.453519,-1.685538,-0.4539614,-0.6843748,1.455654,0.4530746
-1.681855,-6.689628,-0.6813459,3.686431,0.4555544,0.6850725,-0.6892642,-1.89265,0.6887192,-0.6829094,-0.4573742,0.061661
-1.457031,-5.682156,-0.4511345,3.685053,0.4566876,0.888695,0.6806464,-1.455084,0.4586304,-0.86313,-1.683856,-0.4566571
-1.84766,-3.88458,-0.6890621,2.454892,0.6873703,0.821218,1.02974,0.6874512,0.452955,-1.07616,-1.88724,-0.6807082
